,Complexity,Real_Fake,Political,TextUppercase,TextLowercase,text,label
411,Simple,Real,No,No,No,"Profa: Porniti camerele sa va vad
Eu care de abia m-am trezit:",Neutral
265,Simple,Fake,Yes,No,No,PSD PSD PSD Razand biciuim moravurile,Neutral
57,Simple,Real,No,No,No,"Mihai, tu mi-ai pus praf saharian pe Logan?!",Negative
199,Simple,Fake,No,No,No,Când mama intră în camera mea după ce am facut curat,Neutral
175,Simple,Fake,No,Yes,No,MOMENTUL ĂLA CÂND NU ȘTII DACĂ MAI E CUTREMUR SAU E DOAR PULSUL,Neutral
24,Simple,Real,No,Yes,No,AI TĂI DUPĂ CE TE ÎNTORCI LA ȘCOLALĂ,Positive
17,Combination,Real,No,No,No,"Big Mac 
Sarma",Positive
66,Combination,Real,No,No,No,"PROFESOARA DE FRANCEZĂ: SCRIEȚI UN ESEU DE 3 PAGINI! 
EU: 
Google Translate 
Ctrl V",Neutral
418,Combination,Fake,No,No,No,Când te cheamă bietii la furat dar mă-ta nu te lasă să iesi din casă,Neutral
86,Simple,DeepFake,Yes,No,No,"Azi de dimineață într-un apartament din București 
Hooo, Nicușor!",Neutral
31,Combination,DeepFake,Yes,Yes,No,"AVEȚI COVRIGEI LA 1 LEU? 
DA! 
CÂT COSTĂ?",Negative
84,Simple,Real,No,No,No,"Când ajungi prima oară în Cluj 
recorder 
Mai este mult până la metrou?",Negative
316,Combination,Fake,Yes,No,No,De la putere la decadere,Neutral
443,Simple,Real,No,No,No,Eu asteptând sã îmi dai mesaj,Negative
192,Simple,Real,No,Yes,No,MĂ ÎNRTEB CE I-A SPUS FRIZERULUI,Neutral
117,Simple,Fake,No,No,No,Prietenul tău care a venit cu 2 alți băieți la petrecerea ta,Negative
94,Simple,Real,Yes,Yes,No,"DAN BARNA, CITIND ZIARUL.",Negative
250,Simple,Real,Yes,No,No,Se unde știu că demiterea lui VeVe o măsură bună? Fiindcă deranjează. PROFU' de sănătate publică,Positive
438,Combination,Real,No,Yes,No,"NU IMI PASA DE TRECUTUL TAU
TRECUTUL EI:",Neutral
249,Combination,Real,Yes,Yes,No,PNL USR PLUS UDMR,Negative
452,Simple,Fake,No,Yes,No,"""VREAU SI EU O EMOLOAICA DIN AIA""",Neutral
237,Simple,Real,No,No,No,Toți merităm respect!,Positive
220,Simple,Real,No,No,No,Ce aveti fără zahăr și să nu îngrașe? Șervețele!,Positive
104,Simple,Real,No,No,No,eu: putem sa ne oprim la McDrive? maica-mea: avem McDrive acasa  McDrive acasa:,Negative
297,Simple,Real,Yes,No,No,IOHANIS Dezbinarea-i arma mea.. EU SUNT PRINCIPALUL PERICOL PENTRU ROMANIA!,Neutral
5,Simple,DeepFake,No,Yes,No,"SPALATORIE DE PACATE  
SPALATORIE DE PACATE 
SPALATORIE DE PACATE CU AGHEASMA SUB PRESIUNE",Neutral
116,Simple,Fake,No,No,No,Mamele uitându-se la copiii lor cum cresc și se duc la facultate:,Neutral
45,Simple,Real,Yes,No,No,Eu cu salariul in mana incercand sa imi aduc aminte cand a lucrat guvernul jumatate din turele mele,Negative
307,Simple,Real,Yes,No,No,Decat nota!,Neutral
228,Simple,Real,No,No,No,"vând cozonac IKEA, trebuie doar montat! Rogseriozitate!",Positive
399,Simple,Real,No,No,No,"Am nimerit la nebuni!
Vaiii, ce-mi place!",Positive
290,Simple,Fake,Yes,No,No,Se înființează de urgență Uniunea Salvați USR! Little Yoda to the rescue! #memepolitice,Neutral
16,Simple,Fake,Yes,No,No,Așteptând să vină apa caldă,Negative
428,Simple,Real,No,No,No,Ăstia puteam fi noi dar tie ti-a plăcut scoala,Neutral
63,Simple,DeepFake,Yes,No,No,"Klaus Iohannis 
43m 
Asta cu 3 euro in plus la Netflix pentru fiecare locuință mi se pare o prostie, sincer! 
20,2K 
7,0K Comments 2,8K Shares 
Like Comment Share",Negative
329,Simple,Fake,Yes,No,No,Miau...taiat-o!,Negative
3,Simple,Real,Yes,No,No,"Eu, uitându-mă pe ultimele sondaje politice din România:",Negative
153,Simple,Real,No,Yes,No,"OK, GOOGLE, UNDE E MASINA MEA?",Neutral
60,Simple,Real,No,No,No,"Și, cum ai de gând să o impresionezi? 
El:",Negative
110,Combination,Fake,Yes,Yes,No,NU ARUNCĂ LUMEA CU OUĂ ÎN TINE DACĂ SUNT PREA SCUMPE,Negative
333,Combination,Fake,No,Yes,No,ROMANIA IN PRELIMINARII  ROMANIA IN AMICALE,Negative
229,Combination,Real,No,No,No,Babele din România Babele din Europa,Negative
29,Simple,Real,No,Yes,No,"DE 1 IUNIE 
SĂ NU UITĂM DE CEI MICI",Positive
154,Simple,Real,No,No,No,Fanii Coldplay când văd maneliști pe scenă,Negative
231,Combination,Fake,Yes,No,No,Il omor sau nu? NU DA Voi alegeti :)),Neutral
26,Simple,Fake,No,Yes,No,CUM NUMĂRĂ UN INGINER OILE CÂND VREA SĂ ADOARMĂ,Negative
7,Simple,Real,No,Yes,No,EU EXPLICANDU-LE ROMANILOR CA NU E OK SA FACA MISTO CAND ESTE UN SUBIECT SERIOS,Negative
421,Simple,Fake,No,No,No,"Eu: Am luat salariul.
Maşina: Salariul nostru",Negative
108,Simple,Real,No,No,No,Când vrei să te răzbuni pe musca care nu te-a lăsat să dormi toată noaptea,Negative
238,Simple,Fake,No,No,No,Mâine-i luni!,Negative
432,Simple,Real,No,No,No,"Prieteni: Când o sã ai si tu copii?
Eu: Am deja un copil",Positive
118,Simple,Fake,No,No,No,Cuplurile după 9 luni de carantină împreună,Negative
114,Simple,Fake,No,Yes,No,CAND ESTI SINGUR ACASA SI AUZI UN ZGOMOT,Negative
360,Simple,Real,Yes,No,No,Voi interzice bormasina in weekend,Neutral
422,Simple,Fake,No,No,No,"Trezitul nu e o problemã
Cu ridicatul din pat e mai greu..",Negative
239,Combination,Real,No,No,No,CE ITI PLACE SA BEI Bere LAPTE!!! LAPTE!!!,Positive
341,Simple,Real,No,No,No,Singurul antrenor care poate duce Romania la un turneu final,Neutral
351,Simple,Real,Yes,No,No,"Patriarhul Daniel a intrat in Pstul Negru Metalizat, 530 CP, motor V12 in 6 litri. Postul prinde 100 km/h in 5 secunde.",Negative
381,Simple,Fake,No,No,No,Sunt pasionat de fotbal și de mașini,Neutral
379,Simple,Real,No,No,No,"De ce juratii de la Masterchef România din 2012, arată ca o trupă pop/rock?",Neutral
181,Simple,Real,No,Yes,No,ORICE ELEV PE 10 SEPTEMBRIE,Neutral
439,Simple,Real,No,No,No,I-am spus ca poate să o bage oriunde și el a băgat-o în sor'mea,Negative
141,Simple,Fake,No,No,No,Eu la toate petrecerile prezentând colecția mea secretă de meme-uri care încă nu au fost postate,Positive
368,Combination,Real,No,No,Yes,"pulverizator 
fâs-fâs",Positive
244,Simple,Real,Yes,No,No,Când ai votat cu USR și tre' să te prefaci că e totul o.k.,Negative
380,Simple,Real,No,No,No,Ai 16 ani din ce metrix trebuie să scapi bă vere uită te dreq la Ben 10 si lasă l pe Andrew Tate,Negative
320,Simple,Real,No,No,No,"Steagul oficial, al anului 2020!",Negative
109,Simple,Real,No,No,No,Când încerc sa mănânc noaptea în liniște și scap lingura pe jos,Negative
208,Simple,Real,Yes,No,No,Mai multe filiale ale Institului Cantacuzino au reluat producția de vaccinuri antigripale...,Neutral
145,Simple,Real,No,No,No,Tata uitându-se la nota mea de 2 la exercițiile de matematică pe care el singur le-a rezolvat,Negative
325,Simple,Real,No,Yes,No,AM RAS,Positive
152,Simple,Real,No,Yes,No,CE SIMPLU AR FI DACA N-AR FI GREU,Negative
405,Simple,Real,No,Yes,No,"HALBĂ CA ZĂPADA
ȘI CEI ȘAPTE MICI",Positive
193,Simple,DeepFake,No,No,No,"Cum adica, lucrez pe 31 decembrie?",Neutral
83,Combination,Real,No,No,No,"Munikipiul București - PMkB 
10 septembrie la 18:08 
© Ionuț Oprea 
Urmeaza statia Drumul Taberei cu peronul pe partea stanga",Positive
395,Simple,Real,No,No,No,Bea o gură si taci!,Positive
165,Simple,Real,No,Yes,No,IN ROMANIA NU CONTEAZA CINE ESTI  CONTEAZA UNDE PARCHEZI,Neutral
280,Combination,Real,Yes,No,No,FACEBOOK Linkedin Instagram Tinder,Positive
436,Simple,Real,No,No,No,Plantele din casă când văd că pun apă în espressorul de cafea,Neutral
74,Combination,Real,No,Yes,No,"ÎNAINTE DE FILM: 
TOT ÎNAINTE DE FILM:",Neutral
430,Combination,Fake,No,No,No,Mergi sa-i cunosti parintii si i suna telefonu' lu' tacsu la tine in geacă,Neutral
317,Simple,Fake,No,No,No,Vrei ceva de la mega ?,Neutral
210,Simple,Real,No,No,No,"Când trebuie să faci curățenie, dar nu ai nicio motivație așa că stai un pic să își aduni forțele.",Neutral
119,Simple,Fake,No,No,No,Eu încercând să par relaxat uitându-mă la televizor în timp ce mama vorbește cu diriginta la telefon,Neutral
441,Simple,Fake,No,No,No,Când i-ai trimis mesajul acum 7h si a fost activa acum 10 minute,Negative
410,Simple,Real,No,Yes,No,NOUL ALBUM AL LUI SALAM,Neutral
375,Simple,Real,No,No,No,Când auzi că se închide FileList,Negative
355,Simple,Real,Yes,Yes,No,FOAIE VERDE CURCUBEU MAI PROASTA CA MINE-S EU,Neutral
455,Simple,Real,No,Yes,No,CE S-A SCHIMBAT TURNU EFEL,Positive
334,Combination,Real,No,Yes,No,"TATI, CE INSEAMNA SA DAI GOL? NU STIU FIULE, SUNTEM FANI ROMANIA",Negative
275,Simple,Real,Yes,Yes,No,AM GĂSIT 23 DE ORDONANȚE LA PENELEU,Neutral
354,Simple,Real,Yes,No,No,"""Vreau sa ne unim cu Moldova, dar nu inainte ca Moldova sa se uneasca cu patria-muma, Rusia!""",Negative
245,Simple,Real,Yes,No,No,Adoptă o căpușă! O campanie PNL USRPLUS pentru București USRPLUS,Negative
36,Combination,Real,No,Yes,Yes,"2022 
2024",Negative
139,Combination,Fake,No,No,No,"Eu : mă scuzați că am întârziat, traficul a fost cam greu   Profa pe webcam :",Negative
336,Simple,Fake,Yes,Yes,No,ECHIPA NATIONALA,Negative
204,Simple,Real,No,No,No,"Atâta timp cât din leu nu se pot face sarmale, pentru mine tot porcul rămâne regele animalelor :))",Positive
403,Simple,Real,No,Yes,No,MA IA CU FREZOANE,Neutral
261,Simple,Fake,Yes,Yes,No,"MINISTRA ÎNVĂȚĂMÂNTULUI: ""NICIO ȘCOALĂ FĂRĂ PEPSIGLASS PE BĂNCI!""",Neutral
59,Simple,Real,No,Yes,No,"INCALZIREA GLOBALA 
ASA A VRUT DUMNEZEU 
16 GRADE IARNA",Negative
111,Simple,Fake,No,No,No,Eu la munca incercand sa par ocupat,Neutral
248,Simple,Real,Yes,No,No,Adoptă un țânțar! O campanie PNL USRPLUS pentru București USRPLUS,Negative
287,Simple,Real,No,Yes,No,NU-I MOMENTU' ACUUUUUUM,Negative
6,Combination,Fake,No,No,No,Când încerci să înțelegi logica șoferilor care claxonează deși semaforul este roșu,Negative
332,Simple,Fake,No,Yes,No,FANII ROMANIEI ASTEPTAND UN GOL CU LICHTENSTEIN,Negative
318,Simple,Fake,Yes,Yes,No,BREXIT,Negative
158,Simple,Real,No,No,No,Când îi vezi pe ăia din provincie că fac meme cu metroul din București,Negative
150,Combination,Fake,No,Yes,No,TOTI ROMANII CARE AU CRITICAT NATIONALA INAINTE DE EURO,Negative
177,Simple,Real,No,Yes,No,CAND TU SI PRIETENII TAI  AFLATI CA ATI LUAT BACUL,Positive
184,Simple,Real,Yes,Yes,No,ASTA PUTEA FI ROMANIA  DAR TU VOTEZI CU PSD,Negative
10,Combination,Real,No,No,No,"Amator ,,Banii sau viața!"" 
Profesionist ,,Semnează aici pentru încheierea acordului de vasalitate""",Negative
322,Simple,Fake,No,No,No,The Trollfather,Negative
103,Simple,Fake,Yes,No,No,Bucurestean in hainele de casa pe timpul iernii,Negative
81,Simple,Real,No,Yes,No,"O SĂ MĂ APUC DE ÎNVĂȚAT LA 11. 
CEASUL MEU: 
10:65",Negative
38,Simple,Real,Yes,No,No,"Bihorenii în priul rând. 
Pentru Consiliul Județean Bihor",Negative
346,Simple,Real,Yes,Yes,No,DAC-AS FI PENTRU O ZI PRESEDINTE,Positive
167,Simple,Real,No,Yes,No,CUM TE SIMȚI CĂND ȚI-AI FĂCUT TEMELE DE VACANȚĂ  ȘI COLEGII APELEAZĂ LA TINE,Positive
434,Simple,Real,No,No,No,Dacă nu vă potoliți îl opresc iar ....,Negative
338,Simple,Real,No,No,No,Minutul 70...coafura rezista!,Negative
198,Simple,Real,No,Yes,No,MOMENTUL ALA CANDII VEZI PE AIA DE LA ANTENA 1  CUM ARATA IN HD,Neutral
271,Simple,Fake,Yes,No,No,- Si una de jale,Neutral
311,Simple,Real,No,No,No,Asta inseamna sa fii mafiot,Positive
218,Simple,Real,No,No,No,"Iubit, ti-am făcut programare la solar!",Positive
194,Simple,Fake,No,Yes,No,CÂND AȘTEPȚI CA O TELEVIZIUNE ROMÂNĂ  SĂ DEA O ȘTIRE DESPRE CUTREMUR,Negative
89,Simple,Real,No,Yes,No,"ASTA INSEAMNA 
SA FII MAFIOT",Neutral
253,Simple,Real,No,Yes,No,"ALO, DISPECERATUL? VĂ ROG AJUTAȚI-MĂ, MI-A INTRAT APA ÎN CASĂ ĂĂĂ... PLATĂ SAU MINERALĂ?",Negative
163,Simple,Real,No,No,Yes,grupuri de intelectuali romani discutand diferentele dintre nihilism si existentialism,Negative
412,Simple,Real,No,No,No,Client: Oare de ce vine mancarea rece ?,Negative
147,Simple,Real,No,No,No,Când trece dirigintele pe lângă tine după ce i-ai spus că nu vii la școală că ești răcit,Negative
2,Simple,Real,No,No,No,"Închiriez apartament cu 2 camere, recent renovat, situat într-o zonă bună, utilat, etc. 
Preț: 1000 de euro pe lună, nu se negociază, rog seriozitate.",Negative
92,Simple,Real,Yes,Yes,No,"CÂND VEZI PRIMELE EXIT POLL-URI 
CE-I, FĂ, ASTA?",Negative
370,Simple,Real,No,Yes,No,"MĂI ELISABETA, MĂI
ȘI CE TÂNĂRĂ ERAI",Negative
69,Simple,Fake,No,Yes,No,APĂ CHIOARĂ,Neutral
262,Simple,Real,Yes,Yes,No,ROM\NII PNL BANII PUBLICI,Positive
123,Combination,Fake,No,No,No,Eu: *povestesc mamei despre ziua mea la școală   Mama care deja a primit un sunet de la școală despre faptul că nu am fost la lecții,Negative
340,Simple,Fake,No,No,No,"Mircea, iti spun sincer, eu am vrut sa-l fac zidar. Dar a insistat sotia....",Negative
96,Simple,Real,No,No,No,"Buna ziua, aveti 2 secunde sa vorbim despre mantuitorul nostru Iisus Hristos?",Neutral
143,Simple,Fake,No,No,No,Cum se simt cei care cumpără sare de Himalaya în loc de sare normală,Positive
349,Simple,Real,Yes,No,No,PSD a renuntat la boicot. Si-au dat seama ca e o mare lipsa de responsabilitate sa boicoteze cele mai biune surse de spaga.,Positive
450,Simple,Fake,No,No,No,"Cand cuiva Începe sã îi pese de mine
Eu:aici suna a manevră",Negative
246,Simple,Real,Yes,No,No,Adoptă un șobolan! O campanie PNL USRPLUS pentru București USRPLUS,Negative
97,Combination,Real,No,No,No,"TU 
PISICA 
bagi bradul în casă
scoți globurile 
împodobști 
termini de împodobit",Negative
284,Simple,Fake,Yes,No,No,nimeni: nimic ludovic orban: sa impozitam IT-istii,Negative
68,Simple,Real,No,No,No,"-Bă frate cum naiba ai primit un 10? Ești corigent mai mereu... 
Eu:",Neutral
23,Simple,Real,No,No,No,"Maestre, da-mi un sfat bun pentru zilele noastre 
Oriunde te-ai duce, 
nu uita incarcatorul",Positive
37,Combination,Real,No,No,No,"Ce folosesc pentru a face duș:
 Femeile:
 Bărbații:
 BALSAM
 Mămăligă cu brânză de capră",Neutral
144,Simple,Fake,No,No,No,"Când te-ai dus la mare pentru a scăpa de depresie, dar acum stai la mare depresat",Negative
122,Combination,Real,No,No,No,"Eu căutând online cum să fac venit pasiv fără universitate, fără investiții și fără lucru",Negative
183,Simple,Real,No,Yes,No,DE 1 IUNIE  SĂ NU UITĂM DE CEI MICI,Positive
202,Simple,Real,No,No,No,-Cand mergeti sa colindati? -Cand boierii nu-s acasa...,Negative
182,Combination,Fake,No,Yes,No,MOMENTUL ALA CAND AI COLEGI CU MANA PE SUS  SI PROFA TE ALEGE PE TINE,Negative
67,Combination,Fake,No,Yes,No,"TE-AI PREGĂTIT PENTRU PREZENTAREA DE ASTĂZI, AI ÎNVĂȚAT TOTUL ȘI EȘTI GATA PENTRU ABSOLUT ORICE. 
AUZI CĂ PROFESORUL TĂU A MURIT",Negative
247,Simple,Real,Yes,No,No,Adoptă o groapă! O campanie PNL USRPLUS pentru București USRPLUS,Negative
365,Simple,Real,Yes,No,No,Cum se uită gândacii la tine când aprinzi lumina în bucătărie.,Neutral
272,Simple,Real,Yes,No,No,TREI PAHARE LA BĂIATU' ȘI PLEC #memepolitice CAMERA DEPUTAȚILOR,Positive
323,Simple,Real,No,No,No,Cateodata beau un pahar cu apa,Positive
274,Simple,Fake,Yes,Yes,No,CE FACEȚI AICI? DĂM ORDONANȚE!,Positive
367,Simple,Fake,Yes,Yes,No,PARTIDUL SATANIST DOMINANT,Negative
386,Combination,Fake,No,Yes,No,NU AM VIATA SOCIALA DUPA CE AM STAT TOATA VIATA IN FATA PC-ULUI,Negative
125,Simple,Fake,No,No,No,"Fața mea când bancomatul face ""krrrrrrrrrrrrrr"" înainte să imi dea 1000 de lei în bancote de 1",Neutral
146,Simple,Fake,No,No,No,Eu de 25 ani care încă nu am învățat cum e corect să te comporți când cineva plânge,Negative
352,Simple,Real,Yes,No,No,"Vladimir Putin , mesaj de ultima ora pentru romani: ""Pai ce ati crezut voi, ca o sa intrati in Shengel inaintea noastra?""",Positive
460,Simple,Real,No,Yes,No,"M-AM DUS PE ȘANTIER, POATE AȘA CONSTRUIM ȘI NOI UN VIITOR ÎMPREUNA",Neutral
223,Combination,Real,Yes,No,No,Un țăran avea o iapă. Până i-au furat-o TÂGANII !!! SFÂRȘIT!,Negative
388,Simple,Real,No,No,No,Vrei să-ți trag o cârja?,Negative
219,Simple,Fake,No,No,No,Cand ai nevoie de psiholog dar decizi sa te tratezi singura!,Negative
129,Combination,Real,No,No,No,"Când ai văzut pe frigider un bilețel de la prietena ta care scire ""Nu mai merge"", iar când deschizi frigiderul vezi că el defapt merge",Negative
390,Simple,Fake,No,No,No,P-ăsta nu-l prinde politia niciodată. Aude sirena cu 3 zile înainte.,Neutral
404,Simple,Fake,No,No,No,Hm. Imi pute a gay,Neutral
302,Simple,Real,Yes,No,No,"Iliescu explica cum a pacalit moartea: ""De 25 de ani ma cauta doar la puscarie si eu sunt acasa""",Positive
459,Combination,Fake,No,No,No,Eu Tu,Positive
266,Simple,Fake,Yes,No,No,60 De pruna,Neutral
400,Simple,Real,No,Yes,No,MAI RAR AȘA CEVA,Neutral
268,Simple,Fake,Yes,No,No,"Când vrei să mergi în vacanță, dar e pandemie de coronavirus",Negative
433,Simple,Fake,No,No,No,"Tu si acel prieten, în parcare la Kautland, la ora 24, după două beri:",Positive
112,Simple,Fake,No,No,No,Cand te uiti la ceas sa vezi cat mai ai de dormit si vezi ca mai sunt 5 minute pana suna alarma,Negative
179,Simple,Fake,No,Yes,No,CAND TOTI PRIETENII TAI SUNT AFARA   SI TU AI TEME DE FACUT,Neutral
281,Combination,DeepFake,Yes,Yes,Yes,2020 2030,Neutral
312,Combination,Real,No,No,No,"Si, ce abilitati aveti ?",Neutral
377,Combination,Real,No,No,No,Eu si cu tata chinuindu-ne cu tema la mate din clasa a doua,Negative
445,Simple,Real,No,No,No,Eu făcându mi câtiva cartofi si două ouă ochiuri,Neutral
331,Simple,Real,Yes,No,Yes,guvern protestatari jandarmi,Positive
233,Combination,Fake,No,No,No,Sa nu il scapi e scump! Sa nu il scapi gresia e scumpa!,Neutral
289,Simple,Fake,Yes,No,No,ROBU aflând ca DNA îl trimite în judecată #memepolitice,Negative
164,Combination,Fake,No,No,No,Când ai zis că iei trei puncte cu Bosnia și n-ai luat nimic din nou,Negative
