ID	Extension	Complexity	Real_Fake	Sentiment1	Sentiment2	Political	Width	Height	Channels	Mime	ImageFileSize	TextSizeChar	TextSizeBytes	TextUppercase	TextLowercase
00100001	jpg	Combination	Fake	Negative	Sadness	Yes	597	435	3	image/jpeg	28090	44	44	Yes	No
00100002	jpg	Combination	Fake	Negative	Sadness	Yes	591	487	3	image/jpeg	50369	89	89	No	Yes
00100003	jpg	Simple	Real	Negative	Sadness	No	584	477	3	image/jpeg	38837	150	157	No	No
00100004	jpg	Simple	Real	Negative	Anger	Yes	567	504	3	image/jpeg	47183	56	59	No	No
00100005	jpg	Simple	Real	Negative	Fear	No	592	487	3	image/jpeg	37580	87	88	No	No
00100006	jpg	Simple	DeepFake	Neutral	Surprise	No	571	313	3	image/jpeg	26712	90	90	Yes	No
00100007	jpg	Combination	Fake	Negative	Anger	No	545	484	3	image/jpeg	38267	82	91	No	No
00100008	jpg	Simple	Real	Negative	Anger	No	593	454	3	image/jpeg	60691	79	79	Yes	No
00100009	jpg	Combination	Fake	Neutral	Anger	No	595	449	3	image/jpeg	31532	14	14	No	Yes
00100010	jpg	Combination	Fake	Negative	Sadness	No	551	512	3	image/jpeg	49992	75	82	No	Yes
00100011	jpg	Combination	Real	Negative	Sadness	No	502	512	3	image/jpeg	31951	99	102	No	No
00100012	jpg	Simple	Fake	Negative	Surprise	Yes	590	443	3	image/jpeg	60873	24	25	No	No
00100013	jpg	Simple	Fake	Negative	Fear	Yes	495	517	3	image/jpeg	48502	34	35	No	No
00100014	jpg	Simple	DeepFake	Neutral	Surprise	No	552	498	3	image/jpeg	38214	16	16	Yes	No
00100015	jpg	Simple	Real	Positive	Joy	No	569	472	3	image/jpeg	46287	55	61	No	No
00100016	jpg	Simple	Real	Negative	Anger	Yes	598	385	3	image/jpeg	39244	74	74	Yes	No
00100017	jpg	Simple	Fake	Negative	Sadness	Yes	573	480	3	image/jpeg	29203	27	32	No	No
00100018	jpg	Combination	Real	Positive	Joy	No	579	512	3	image/jpeg	36382	14	14	No	No
00100019	jpg	Simple	Fake	Neutral	Fear	Yes	576	619	3	image/jpeg	75793	18	22	No	No
00100020	jpg	Simple	Real	Negative	Anger	No	576	576	3	image/jpeg	65785	40	40	Yes	No
00100021	jpg	Simple	Real	Neutral	Joy	No	576	792	3	image/jpeg	55832	48	48	No	No
00100022	jpg	Simple	Real	Negative	Anger	No	576	384	3	image/jpeg	55224	73	77	Yes	No
00100023	jpg	Combination	Fake	Negative	Anger	Yes	576	620	3	image/jpeg	50405	50	54	No	No
00100024	jpg	Simple	Real	Positive	Surprise	No	576	530	3	image/jpeg	55106	91	91	No	No
00100025	jpg	Simple	Real	Positive	Joy	No	576	426	3	image/jpeg	45920	36	41	Yes	No
00100026	jpg	Simple	Real	Neutral	Surprise	No	576	543	3	image/jpeg	50948	102	106	No	No
00100027	jpg	Simple	Fake	Negative	Sadness	No	576	832	3	image/jpeg	81806	47	52	Yes	No
00100028	jpg	Simple	Real	Negative	Fear	No	576	605	3	image/jpeg	47578	7	7	Yes	No
00100029	jpg	Combination	Real	Negative	Anger	No	576	731	3	image/jpeg	39107	26	27	No	No
00100030	jpg	Simple	Real	Positive	Joy	No	576	383	3	image/jpeg	62634	35	37	Yes	No
00100031	jpg	Combination	Real	Negative	Surprise	No	576	765	3	image/jpeg	40433	8	8	Yes	Yes
00100032	jpg	Combination	DeepFake	Negative	Surprise	Yes	576	744	3	image/jpeg	75126	41	44	Yes	No
00100033	jpg	Simple	Real	Negative	Surprise	No	576	703	3	image/jpeg	66644	35	37	No	No
00100034	jpg	Combination	Real	Positive	Love	No	576	1024	3	image/jpeg	79535	84	84	No	No
00100035	jpg	Simple	Real	Negative	Fear	No	576	493	3	image/jpeg	51382	61	67	No	No
00100036	jpg	Simple	Real	Neutral	Surprise	No	576	503	3	image/jpeg	49842	6	6	Yes	No
00100037	jpg	Combination	Real	Negative	Anger	No	593	683	3	image/jpeg	49708	10	10	Yes	Yes
00100038	jpg	Combination	Real	Neutral	Surprise	No	589	711	3	image/jpeg	73010	88	97	No	No
00100039	jpg	Simple	Real	Negative	Sadness	Yes	675	691	3	image/jpeg	50844	57	60	No	No
00100040	jpg	Simple	Real	Negative	Surprise	Yes	640	360	3	image/jpeg	39008	22	23	No	No
00100041	jpg	Combination	Fake	Negative	Anger	No	709	708	3	image/jpeg	57749	18	18	No	No
00100042	jpg	Simple	DeepFake	Neutral	Surprise	Yes	700	699	3	image/jpeg	66884	23	23	Yes	No
00100043	jpg	Combination	Fake	Neutral	Joy	No	581	686	3	image/jpeg	70841	149	155	No	No
00100044	jpg	Simple	Real	Neutral	Surprise	No	683	706	3	image/jpeg	75485	118	125	No	No
00100045	jpg	Combination	Real	Neutral	Surprise	No	744	610	3	image/jpeg	42278	32	32	No	No
00100046	jpg	Simple	Real	Negative	Anger	Yes	589	582	3	image/jpeg	41408	99	99	No	No
00100047	jpg	Simple	DeepFake	Negative	Anger	Yes	482	360	3	image/webp	39590	56	60	No	No
00100048	jpg	Simple	Real	Neutral	Surprise	Yes	851	697	3	image/jpeg	73625	67	74	No	No
00100049	jpg	Simple	Real	Negative	Anger	Yes	612	408	3	image/jpeg	65216	39	39	Yes	No
00100050	jpg	Simple	DeepFake	Positive	Joy	No	536	703	3	image/jpeg	70031	65	68	No	No
00100051	jpg	Simple	DeepFake	Negative	Anger	Yes	623	708	3	image/jpeg	83810	7	7	Yes	No
00100052	jpg	Simple	Fake	Negative	Surprise	No	797	701	3	image/jpeg	44330	93	93	No	No
00100053	jpg	Simple	DeepFake	Positive	Surprise	No	775	698	3	image/jpeg	76645	26	26	No	No
00100054	jpg	Simple	Real	Negative	Anger	Yes	701	698	3	image/jpeg	106382	29	30	Yes	No
00100055	jpg	Simple	Fake	Neutral	Joy	No	730	756	3	image/jpeg	86914	68	69	No	Yes
00100056	jpg	Simple	Real	Negative	Sadness	No	750	744	3	image/jpeg	68138	114	118	No	No
00100057	jpg	Simple	Real	Negative	Sadness	No	749	477	3	image/jpeg	94287	30	34	Yes	No
00100058	jpg	Simple	Real	Negative	Surprise	No	750	503	3	image/jpeg	46225	44	44	No	No
00100059	jpg	Simple	Real	Neutral	Fear	No	599	759	3	image/jpeg	72024	147	160	No	No
00100060	jpg	Simple	Real	Negative	Sadness	No	750	746	3	image/jpeg	60976	55	55	Yes	No
00100061	jpg	Simple	Real	Negative	Surprise	No	750	692	3	image/jpeg	103682	42	45	No	No
00100062	jpg	Combination	Real	Negative	Anger	Yes	749	753	3	image/jpeg	95888	201	213	No	No
00100063	jpg	Simple	Fake	Negative	Sadness	No	603	752	3	image/jpeg	72604	80	84	No	No
00100064	jpg	Simple	DeepFake	Negative	Anger	Yes	749	558	3	image/jpeg	32932	162	164	No	No
00100065	jpg	Combination	Real	Negative	Anger	Yes	749	750	3	image/jpeg	54702	39	39	No	No
00100066	jpg	Combination	Real	Negative	Sadness	No	932	617	3	image/jpeg	74335	33	34	Yes	No
00100067	jpg	Combination	Real	Neutral	Joy	No	1340	775	3	image/jpeg	66912	83	86	No	No
00100068	jpg	Combination	Fake	Negative	Surprise	No	1920	1080	3	image/jpeg	251614	128	140	Yes	No
00100069	jpg	Simple	Real	Neutral	Surprise	No	1340	1078	3	image/jpeg	191783	68	72	No	No
00100070	jpg	Simple	Fake	Neutral	Surprise	No	854	641	3	image/jpeg	20716	11	13	Yes	No
00100071	jpg	Combination	Real	Negative	Anger	No	766	616	3	image/jpeg	47994	47	48	No	Yes
00100072	jpg	Simple	Fake	Neutral	Surprise	No	1001	552	3	image/jpeg	68152	81	86	Yes	No
00100073	jpg	Combination	Real	Negative	Anger	No	774	613	3	image/jpeg	60973	57	66	Yes	No
00100074	jpg	Combination	Real	Positive	Love	No	613	549	3	image/jpeg	37122	34	35	No	Yes
00100075	jpg	Combination	Real	Neutral	Surprise	No	964	561	3	image/jpeg	42633	38	41	Yes	No
00100076	jpg	Combination	Real	Negative	Surprise	No	750	573	3	image/jpeg	58501	62	68	Yes	No
00100077	jpg	Simple	Fake	Neutral	Surprise	No	616	508	3	image/jpeg	48605	17	18	No	No
00100078	jpg	Simple	Real	Neutral	Joy	No	621	624	3	image/jpeg	50677	27	27	No	No
00100079	jpg	Combination	Real	Negative	Surprise	No	931	610	3	image/jpeg	75459	65	73	Yes	No
00100080	jpg	Simple	Real	Negative	Joy	No	675	587	3	image/jpeg	57223	59	61	No	Yes
00100081	jpg	Simple	Real	Neutral	Surprise	No	951	592	3	image/jpeg	48823	98	104	Yes	No
00100082	jpg	Simple	Real	Negative	Surprise	No	1505	898	3	image/jpeg	111282	50	56	Yes	No
00100083	jpg	Combination	Real	Negative	Fear	No	1071	585	3	image/jpeg	73007	46	53	Yes	No
00100084	jpg	Combination	Real	Positive	Joy	No	512	486	3	image/jpeg	48319	125	128	No	No
00100085	jpg	Simple	Real	Negative	Anger	No	512	305	3	image/png	139314	71	76	No	No
00100086	jpg	Simple	Real	Negative	Joy	Yes	469	512	3	image/jpeg	52542	41	45	Yes	No
00100087	jpg	Simple	DeepFake	Neutral	Surprise	Yes	319	512	3	image/jpeg	35120	65	70	No	No
00100088	jpg	Simple	Real	Negative	Surprise	Yes	512	340	3	image/jpeg	57615	22	25	Yes	No
00100089	jpg	Simple	Real	Negative	Anger	No	476	512	3	image/jpeg	46332	94	101	No	No
00100090	jpg	Simple	Real	Neutral	Joy	No	512	341	3	image/jpeg	40216	28	28	Yes	No
00100091	jpg	Simple	Real	Negative	Anger	No	460	304	3	image/png	206647	71	78	Yes	No
00100092	jpg	Simple	Fake	Neutral	Surprise	No	512	288	3	image/jpeg	48759	25	26	Yes	No
00100093	jpg	Simple	Real	Negative	Anger	Yes	512	366	3	image/jpeg	57990	48	50	Yes	No
00100094	jpg	Simple	Real	Negative	Anger	Yes	512	320	3	image/jpeg	46313	59	61	Yes	No
00100095	jpg	Simple	Real	Negative	Surprise	Yes	512	341	3	image/jpeg	38128	25	25	Yes	No
00100096	jpg	Simple	Real	Negative	Anger	No	512	512	3	image/jpeg	41764	82	86	No	No
00100097	jpg	Simple	Real	Neutral	Surprise	No	418	512	3	image/jpeg	24505	77	77	No	No
00100098	jpg	Combination	Real	Negative	Anger	No	370	512	3	image/jpeg	51188	81	87	No	No
00100099	jpg	Simple	Real	Neutral	Surprise	No	512	286	3	image/jpeg	33198	81	84	Yes	No
00100100	jpg	Simple	Real	Negative	Surprise	Yes	512	397	3	image/jpeg	48004	58	59	No	No
00200001	jpg	Simple	Real	Neutral	Anger	No	640	399	3	image/jpeg	41508	33	34	Yes	No
00200002	jpg	Simple	Fake	Negative	Love	No	518	487	3	image/jpeg	37296	54	57	No	No
00200003	jpg	Simple	Fake	Negative	Anger	No	575	503	3	image/jpeg	48529	85	85	No	No
00200004	jpg	Simple	Fake	Negative	Anger	Yes	551	484	3	image/jpeg	40359	47	47	No	No
00200005	jpg	Simple	Real	Negative	Surprise	No	540	449	3	image/jpeg	54055	79	79	No	No
00200006	jpg	Simple	Fake	Neutral	Love	No	598	360	3	image/jpeg	37021	29	33	Yes	No
00200007	jpg	Combination	Fake	Negative	Sadness	Yes	573	480	3	image/jpeg	29421	27	32	No	No
00200008	jpg	Simple	Real	Negative	Anger	Yes	551	456	3	image/jpeg	39366	83	83	No	No
00200009	jpg	Simple	Real	Negative	Anger	No	550	675	3	image/jpeg	52417	74	80	No	No
00200010	jpg	Simple	Real	Negative	Sadness	No	736	736	3	image/jpeg	63040	63	70	No	No
00200011	jpg	Combination	Fake	Negative	Anger	Yes	571	452	3	image/jpeg	28651	52	56	Yes	No
00200012	jpg	Simple	Fake	Neutral	Sadness	No	498	556	3	image/jpeg	41073	35	35	No	No
00200013	jpg	Simple	Fake	Negative	Sadness	No	589	519	3	image/jpeg	41420	95	95	No	No
00200014	jpg	Simple	Real	Negative	Anger	No	640	524	3	image/jpeg	45837	76	76	No	No
00200015	jpg	Simple	Fake	Negative	Fear	No	534	435	3	image/jpeg	29442	40	40	Yes	No
00200016	jpg	Simple	Real	Positive	Joy	No	606	316	3	image/jpeg	22825	41	41	Yes	No
00200017	jpg	Simple	Fake	Neutral	Sadness	No	589	302	3	image/jpeg	21053	65	67	No	No
00200018	jpg	Simple	Fake	Negative	Surprise	No	552	506	3	image/jpeg	39286	60	64	No	No
00200019	jpg	Simple	Fake	Negative	Anger	No	700	527	3	image/jpeg	57534	43	47	No	No
00200020	jpg	Simple	Fake	Neutral	Fear	No	526	592	3	image/jpeg	35659	100	107	No	No
00200021	jpg	Combination	Fake	Negative	Anger	No	505	540	3	image/jpeg	50352	121	133	No	No
00200022	jpg	Combination	Fake	Negative	Anger	No	716	540	3	image/jpeg	63829	90	100	No	No
00200023	jpg	Combination	Real	Negative	Sadness	No	526	640	3	image/jpeg	72975	89	100	No	No
00200024	jpg	Combination	Fake	Negative	Anger	No	526	576	3	image/jpeg	46674	132	138	No	No
00200025	jpg	Simple	Real	Negative	Anger	No	552	520	3	image/jpeg	50099	72	78	No	No
00200026	jpg	Simple	Fake	Neutral	Joy	No	526	504	3	image/jpeg	40106	94	99	No	No
00200027	jpg	Simple	Real	Negative	Fear	No	720	537	3	image/jpeg	46509	84	90	No	No
00200028	jpg	Combination	Fake	Positive	Joy	No	796	540	3	image/jpeg	61456	92	97	No	No
00200029	jpg	Combination	Fake	Neutral	Sadness	No	640	516	3	image/jpeg	60831	76	82	No	No
00200030	jpg	Combination	Real	Negative	Surprise	No	522	640	3	image/jpeg	45962	134	139	No	No
00200031	jpg	Simple	Real	Neutral	Sadness	No	600	518	3	image/jpeg	48068	89	96	No	No
00200032	jpg	Simple	Real	Negative	Sadness	No	503	600	3	image/jpeg	39147	66	69	No	No
00200033	jpg	Simple	Fake	Negative	Sadness	No	526	514	3	image/jpeg	46094	121	131	No	No
00200034	jpg	Combination	Fake	Negative	Sadness	No	640	514	3	image/jpeg	50439	112	119	No	No
00200035	jpg	Combination	Real	Positive	Joy	No	600	535	3	image/jpeg	60747	75	84	No	No
00200036	jpg	Combination	Fake	Negative	Anger	No	843	526	3	image/jpeg	78252	97	102	No	No
00200037	jpg	Simple	Real	Negative	Sadness	No	526	532	3	image/jpeg	33229	77	81	No	No
00200038	jpg	Combination	Fake	Negative	Fear	No	552	511	3	image/jpeg	51111	117	123	No	No
00200039	jpg	Combination	Fake	Negative	Sadness	No	526	507	3	image/jpeg	52463	104	112	No	No
00200040	jpg	Combination	Fake	Negative	Anger	No	505	540	3	image/jpeg	47424	77	82	No	No
00200041	jpg	Simple	Fake	Neutral	Surprise	No	640	455	3	image/jpeg	48212	68	72	No	No
00200042	jpg	Simple	Fake	Positive	Joy	No	526	503	3	image/jpeg	49123	96	101	No	No
00200043	jpg	Simple	Fake	Negative	Sadness	No	521	540	3	image/jpeg	39256	52	55	No	No
00200044	jpg	Simple	Fake	Positive	Joy	No	526	520	3	image/jpeg	47366	68	72	No	No
00200045	jpg	Simple	Fake	Negative	Sadness	No	552	505	3	image/jpeg	47342	81	83	No	No
00200046	jpg	Simple	Real	Negative	Anger	No	562	453	3	image/jpeg	45018	93	96	No	No
00200047	jpg	Simple	Fake	Negative	Sadness	No	526	535	3	image/jpeg	66219	83	92	No	No
00200048	jpg	Simple	Real	Negative	Surprise	No	518	640	3	image/jpeg	56110	88	98	No	No
00200049	jpg	Simple	Real	Negative	Anger	No	700	500	3	image/jpeg	62980	55	55	Yes	No
00200050	jpg	Combination	Fake	Positive	Joy	No	800	884	3	image/jpeg	59003	73	76	No	No
00200051	jpg	Combination	Fake	Negative	Fear	No	800	638	3	image/jpeg	43319	55	55	Yes	No
00200052	jpg	Simple	Real	Negative	Anger	No	474	334	3	image/jpeg	39301	84	95	Yes	No
00200053	jpg	Simple	Real	Negative	Sadness	No	552	501	3	image/jpeg	44003	33	33	Yes	No
00200054	jpg	Simple	Real	Neutral	Sadness	No	800	493	3	image/jpeg	45861	30	30	Yes	No
00200055	jpg	Simple	Real	Negative	Surprise	No	680	651	3	image/jpeg	52232	42	46	No	No
00200056	jpg	Simple	Fake	Positive	Surprise	No	720	523	3	image/jpeg	49784	74	74	Yes	No
00200057	jpg	Simple	Real	Positive	Joy	No	600	520	3	image/jpeg	53323	45	49	No	No
00200058	jpg	Simple	Real	Neutral	Surprise	Yes	526	526	3	image/jpeg	52990	155	161	No	No
00200059	jpg	Simple	Real	Negative	Surprise	No	526	507	3	image/jpeg	33976	70	75	No	No
00200060	jpg	Simple	Real	Negative	Sadness	No	1106	461	3	image/jpeg	43166	53	56	Yes	No
00200061	jpg	Combination	Real	Neutral	Surprise	No	526	534	3	image/jpeg	43499	31	32	No	Yes
00200062	jpg	Simple	Fake	Neutral	Surprise	No	600	518	3	image/jpeg	63499	73	73	No	No
00200063	jpg	Simple	Fake	Neutral	Surprise	No	711	540	3	image/jpeg	60604	67	67	No	No
00200064	jpg	Simple	Real	Negative	Surprise	No	710	525	3	image/jpeg	38864	86	86	No	Yes
00200065	jpg	Combination	Fake	Negative	Anger	No	800	640	3	image/jpeg	41292	67	70	No	No
00200066	jpg	Simple	Real	Neutral	Surprise	No	576	768	3	image/jpeg	50869	56	56	Yes	No
00200067	jpg	Simple	Real	Neutral	Fear	No	576	588	3	image/jpeg	47921	73	77	No	No
00200068	jpg	Simple	Real	Positive	Joy	No	576	460	3	image/jpeg	34788	76	84	Yes	No
00200069	jpg	Simple	Real	Positive	Joy	No	576	589	3	image/jpeg	35532	58	64	Yes	No
00200070	jpg	Simple	Real	Neutral	Surprise	No	576	547	3	image/jpeg	36362	72	81	No	No
00200071	jpg	Combination	Fake	Negative	Sadness	No	576	595	3	image/jpeg	36380	29	29	Yes	No
00200072	jpg	Simple	Real	Negative	Sadness	No	800	1016	3	image/jpeg	107034	48	48	Yes	No
00200073	jpg	Simple	Fake	Negative	Sadness	No	576	629	3	image/jpeg	37171	67	75	No	No
00200074	jpg	Simple	Real	Negative	Surprise	Yes	576	468	3	image/jpeg	25437	60	64	No	No
00200075	jpg	Combination	Fake	Neutral	Fear	No	576	576	3	image/jpeg	32354	103	108	No	No
00200076	jpg	Simple	Fake	Neutral	Anger	No	576	424	3	image/jpeg	30341	63	67	Yes	No
00200077	jpg	Simple	Real	Neutral	Surprise	No	576	432	3	image/jpeg	36313	31	33	Yes	No
00200078	jpg	Simple	Real	Positive	Joy	No	576	405	3	image/jpeg	36910	50	50	Yes	No
00200079	jpg	Simple	Real	Negative	Surprise	No	800	797	3	image/jpeg	70061	68	68	Yes	No
00200080	jpg	Simple	Fake	Neutral	Sadness	No	576	397	3	image/jpeg	33156	59	59	Yes	No
00200081	jpg	Combination	Fake	Neutral	Anger	No	576	417	3	image/jpeg	31502	57	57	Yes	No
00200082	jpg	Simple	Real	Neutral	Sadness	No	576	674	3	image/jpeg	33779	27	27	Yes	No
00200083	jpg	Combination	Fake	Negative	Surprise	No	500	336	3	image/jpeg	27315	69	69	Yes	No
00200084	jpg	Simple	Real	Positive	Joy	No	576	383	3	image/jpeg	43950	35	37	Yes	No
00200085	jpg	Simple	Real	Negative	Anger	Yes	576	379	3	image/jpeg	47349	43	43	Yes	No
00200086	jpg	Simple	Real	Positive	Joy	No	576	525	3	image/jpeg	26787	68	76	No	No
00200087	jpg	Simple	Real	Negative	Sadness	No	576	582	3	image/jpeg	42372	46	50	No	No
00200088	jpg	Simple	Fake	Negative	Anger	No	576	630	3	image/jpeg	37302	53	60	No	No
00200089	jpg	Simple	Fake	Neutral	Surprise	No	576	324	3	image/jpeg	29862	51	51	Yes	No
00200090	jpg	Simple	Fake	Positive	Joy	No	576	576	3	image/jpeg	32613	44	47	Yes	No
00200091	jpg	Simple	Real	Negative	Surprise	No	576	348	3	image/jpeg	25229	58	58	Yes	No
00200092	jpg	Simple	Real	Positive	Joy	No	576	637	3	image/jpeg	41013	48	52	Yes	No
00200093	jpg	Simple	Real	Neutral	Surprise	No	576	767	3	image/jpeg	46981	32	34	Yes	No
00200094	jpg	Simple	DeepFake	Neutral	Surprise	No	533	416	3	image/jpeg	38566	34	34	No	No
00200095	jpg	Simple	Fake	Negative	Anger	No	576	863	3	image/jpeg	47133	68	75	Yes	No
00200096	jpg	Simple	Fake	Neutral	Joy	No	576	437	3	image/jpeg	36639	50	50	Yes	No
00200097	jpg	Simple	Fake	Neutral	Joy	No	576	456	3	image/jpeg	50086	70	75	No	No
00200098	jpg	Simple	Fake	Neutral	Surprise	No	576	608	3	image/jpeg	26972	42	45	No	No
00200099	jpg	Simple	Real	Neutral	Surprise	No	576	383	3	image/jpeg	33317	63	63	Yes	No
00200100	jpg	Simple	Fake	Neutral	Surprise	No	576	539	3	image/jpeg	38615	52	56	No	No
00300001	jpg	Combination	Real	Negative	Sadness	No	503	600	3	image/jpeg	57958	70	77	No	No
00300002	jpg	Combination	Fake	Neutral	Joy	No	552	523	3	image/jpeg	27917	68	70	No	No
00300003	jpg	Simple	Real	Negative	Sadness	No	552	508	3	image/jpeg	47497	55	55	No	No
00300004	jpg	Simple	Real	Positive	Surprise	No	720	478	3	image/jpeg	45851	46	50	No	No
00300005	jpg	Simple	Real	Positive	Joy	No	446	471	3	image/jpeg	34430	98	102	No	No
00300006	jpg	Simple	Real	Neutral	Surprise	No	640	501	3	image/jpeg	47129	48	52	No	No
00300007	jpg	Combination	Real	Negative	Sadness	No	720	512	3	image/jpeg	51951	66	72	No	No
00300008	jpg	Simple	Real	Negative	Sadness	Yes	526	696	3	image/jpeg	63307	34	36	No	No
00300009	jpg	Simple	Real	Neutral	Sadness	Yes	720	504	3	image/jpeg	63608	92	93	No	No
00300010	jpg	Simple	Fake	Negative	Sadness	No	720	715	3	image/jpeg	40079	55	60	No	No
00300011	jpg	Simple	Real	Neutral	Sadness	No	1080	1350	3	image/jpeg	86164	98	109	No	No
00300012	jpg	Simple	Fake	Negative	Sadness	No	700	386	3	image/jpeg	30010	114	125	No	No
00300013	jpg	Simple	Real	Positive	Surprise	No	720	1007	3	image/jpeg	54802	150	158	No	No
00300014	jpg	Simple	Real	Negative	Surprise	No	720	892	3	image/jpeg	74032	35	37	No	No
00300015	jpg	Simple	Real	Neutral	Surprise	No	640	1386	3	image/jpeg	70131	34	38	No	No
00300016	jpg	Combination	Real	Negative	Fear	No	508	640	3	image/jpeg	61496	60	60	Yes	No
00300017	jpg	Simple	Real	Negative	Surprise	No	640	1427	3	image/jpeg	55209	123	133	No	No
00300018	jpg	Simple	Real	Positive	Surprise	No	720	900	3	image/jpeg	62368	57	63	No	No
00300019	jpg	Simple	Real	Positive	Surprise	No	800	600	3	image/jpeg	70711	39	40	No	No
00300020	jpg	Simple	Fake	Negative	Sadness	No	720	627	3	image/jpeg	34343	60	60	No	No
00300021	jpg	Simple	Real	Positive	Surprise	No	476	476	3	image/jpeg	28443	48	57	No	No
00300022	jpg	Simple	Real	Negative	Sadness	Yes	526	526	3	image/jpeg	59138	69	69	No	No
00300023	jpg	Simple	Real	Neutral	Sadness	Yes	541	401	3	image/jpeg	32342	84	84	No	No
00300024	jpg	Combination	Real	Negative	Surprise	Yes	392	608	3	image/jpeg	99211	60	68	No	No
00300025	jpg	Simple	Real	Negative	Fear	No	431	480	3	image/jpeg	35302	24	27	No	No
00300026	jpg	Simple	Real	Negative	Sadness	No	500	212	3	image/jpeg	15912	61	64	No	No
00300027	jpg	Combination	Real	Negative	Sadness	Yes	620	437	3	image/jpeg	44754	99	99	No	No
00300028	jpg	Simple	Real	Positive	Love	No	561	560	3	image/jpeg	21323	92	92	No	No
00300029	jpg	Simple	Real	Positive	Surprise	No	768	960	3	image/jpeg	71104	55	56	No	No
