,ID,Text,Extension,Complexity,Real_Fake,Sentiment1,Sentiment2,Political,Width,Height,Channels,Mime,ImageFileSize,TextSizeChar,TextSizeBytes,TextUppercase,TextLowercase
0,100001,"PROTESTELE DIN FRANTA
PROTESTELE DIN ROMANIA",jpg,Combination,Fake,Negative,Sadness,Yes,597,435,3,image/jpeg,28090,44,44,Yes,No
1,100002,"cine e impotriva pensiilor  speciale
cine vrea sa protesteze impotriva pensiilor speciale",jpg,Combination,Fake,Negative,Sadness,Yes,591,487,3,image/jpeg,50369,89,89,No,Yes
2,100003,"Închiriez apartament cu 2 camere, recent renovat, situat într-o zonă bună, utilat, etc. 
Preț: 1000 de euro pe lună, nu se negociază, rog seriozitate.",jpg,Simple,Real,Negative,Sadness,No,584,477,3,image/jpeg,38837,150,157,No,No
3,100004,"Eu, uitându-mă pe ultimele sondaje politice din România:",jpg,Simple,Real,Negative,Anger,Yes,567,504,3,image/jpeg,47183,56,59,No,No
4,100005,"Dorel electricianul : *Face o improvizație la sistemul electric* 
Eu, pe patul de ATI :",jpg,Simple,Real,Negative,Fear,No,592,487,3,image/jpeg,37580,87,88,No,No
5,100006,"SPALATORIE DE PACATE  
SPALATORIE DE PACATE 
SPALATORIE DE PACATE CU AGHEASMA SUB PRESIUNE",jpg,Simple,DeepFake,Neutral,Surprise,No,571,313,3,image/jpeg,26712,90,90,Yes,No
6,100007,Când încerci să înțelegi logica șoferilor care claxonează deși semaforul este roșu,jpg,Combination,Fake,Negative,Anger,No,545,484,3,image/jpeg,38267,82,91,No,No
7,100008,EU EXPLICANDU-LE ROMANILOR CA NU E OK SA FACA MISTO CAND ESTE UN SUBIECT SERIOS,jpg,Simple,Real,Negative,Anger,No,593,454,3,image/jpeg,60691,79,79,Yes,No
8,100009,"de post 
vegan",jpg,Combination,Fake,Neutral,Anger,No,595,449,3,image/jpeg,31532,14,14,No,Yes
9,100010,"5 lei în copilărie 
50 de lei în adolescență 
2000 de lei în viața de adult",jpg,Combination,Fake,Negative,Sadness,No,551,512,3,image/jpeg,49992,75,82,No,Yes
10,100011,"Amator ,,Banii sau viața!"" 
Profesionist ,,Semnează aici pentru încheierea acordului de vasalitate""",jpg,Combination,Real,Negative,Sadness,No,502,512,3,image/jpeg,31951,99,102,No,No
11,100012,Aicea merge niște porumb,jpg,Simple,Fake,Negative,Surprise,Yes,590,443,3,image/jpeg,60873,24,25,No,No
12,100013,"UBB: -Ai plagiat 
Politician român",jpg,Simple,Fake,Negative,Fear,Yes,495,517,3,image/jpeg,48502,34,35,No,No
13,100014,"LIDL 
RONALDO 
7",jpg,Simple,DeepFake,Neutral,Surprise,No,552,498,3,image/jpeg,38214,16,16,Yes,No
14,100015,După atâția ani de matematica am găsit radacina pătrată,jpg,Simple,Real,Positive,Joy,No,569,472,3,image/jpeg,46287,55,61,No,No
15,100016,LE-AM SPUS APOI CA NU VOM MAI EXTINDE SCHENGEN PANA NU SECURIZAM GRANITELE,jpg,Simple,Real,Negative,Anger,Yes,598,385,3,image/jpeg,39244,74,74,Yes,No
16,100017,Așteptând să vină apa caldă,jpg,Simple,Fake,Negative,Sadness,Yes,573,480,3,image/jpeg,29203,27,32,No,No
17,100018,"Big Mac 
Sarma",jpg,Combination,Real,Positive,Joy,No,579,512,3,image/jpeg,36382,14,14,No,No
18,100019,"69 
”Greu de ucis”",jpg,Simple,Fake,Neutral,Fear,Yes,576,619,3,image/jpeg,75793,18,22,No,No
19,100020,CINE NU IUBESTE SIMPLITATEA DE LA APPLE?,jpg,Simple,Real,Negative,Anger,No,576,576,3,image/jpeg,65785,40,40,Yes,No
20,100021,Pentru cine a zis ca matematica nu e folositoare,jpg,Simple,Real,Neutral,Joy,No,576,792,3,image/jpeg,55832,48,48,No,No
21,100022,"SĂ VEZI CE O SĂ SE BUCURE ȘEFU' 
CĂ AM AJUNS PRIMII LA LOCUL ACCIDENTULUI",jpg,Simple,Real,Negative,Anger,No,576,384,3,image/jpeg,55224,73,77,Yes,No
22,100023,"Știi să furi? 
Da 
Ești angajat! 
Guvernu României",jpg,Combination,Fake,Negative,Anger,Yes,576,620,3,image/jpeg,50405,50,54,No,No
23,100024,"Maestre, da-mi un sfat bun pentru zilele noastre 
Oriunde te-ai duce, 
nu uita incarcatorul",jpg,Simple,Real,Positive,Surprise,No,576,530,3,image/jpeg,55106,91,91,No,No
24,100025,AI TĂI DUPĂ CE TE ÎNTORCI LA ȘCOLALĂ,jpg,Simple,Real,Positive,Joy,No,576,426,3,image/jpeg,45920,36,41,Yes,No
25,100026,"Intervievatorul: Ai vreo experiență în rol de conducere? 
Eu: Păi, sunt adminul unui grup de Whatsapp.",jpg,Simple,Real,Neutral,Surprise,No,576,543,3,image/jpeg,50948,102,106,No,No
26,100027,CUM NUMĂRĂ UN INGINER OILE CÂND VREA SĂ ADOARMĂ,jpg,Simple,Fake,Negative,Sadness,No,576,832,3,image/jpeg,81806,47,52,Yes,No
27,100028,"BAC 
TU",jpg,Simple,Real,Negative,Fear,No,576,605,3,image/jpeg,47578,7,7,Yes,No
28,100029,Rasismul explcat idioților,jpg,Combination,Real,Negative,Anger,No,576,731,3,image/jpeg,39107,26,27,No,No
29,100030,"DE 1 IUNIE 
SĂ NU UITĂM DE CEI MICI",jpg,Simple,Real,Positive,Joy,No,576,383,3,image/jpeg,62634,35,37,Yes,No
30,100031,"007 
0,7",jpg,Combination,Real,Negative,Surprise,No,576,765,3,image/jpeg,40433,8,8,Yes,Yes
31,100032,"AVEȚI COVRIGEI LA 1 LEU? 
DA! 
CÂT COSTĂ?",jpg,Combination,DeepFake,Negative,Surprise,Yes,576,744,3,image/jpeg,75126,41,44,Yes,No
32,100033,"Sunt pe dieta! 
Mănânc doar morcovi",jpg,Simple,Real,Negative,Surprise,No,576,703,3,image/jpeg,66644,35,37,No,No
33,100034,"UNDE SE AFLA FRANTA? 
AICI 
UNDE SE AFLA BRAZILIA?
AICI 
UNDE SE AFLA Oltenia? 
AICI",jpg,Combination,Real,Positive,Love,No,576,1024,3,image/jpeg,79535,84,84,No,No
34,100035,Următorul task este să îți faci temele fără acces la internet,jpg,Simple,Real,Negative,Fear,No,576,493,3,image/jpeg,51382,61,67,No,No
35,100036,FRATE?,jpg,Simple,Real,Neutral,Surprise,No,576,503,3,image/jpeg,49842,6,6,Yes,No
36,100037,"2022 
2024",jpg,Combination,Real,Negative,Anger,No,593,683,3,image/jpeg,49708,10,10,Yes,Yes
37,100038,"Ce folosesc pentru a face duș:
 Femeile:
 Bărbații:
 BALSAM
 Mămăligă cu brânză de capră",jpg,Combination,Real,Neutral,Surprise,No,589,711,3,image/jpeg,73010,88,97,No,No
38,100039,"Bihorenii în priul rând. 
Pentru Consiliul Județean Bihor",jpg,Simple,Real,Negative,Sadness,Yes,675,691,3,image/jpeg,50844,57,60,No,No
39,100040,Cine o fi șef la UEFA?,jpg,Simple,Real,Negative,Surprise,Yes,640,360,3,image/jpeg,39008,22,23,No,No
40,100041,"500 LEI 
O eugenie",jpg,Combination,Fake,Negative,Anger,No,709,708,3,image/jpeg,57749,18,18,No,No
41,100042,SELLY LA SUMMIT-UL NATO,jpg,Simple,DeepFake,Neutral,Surprise,Yes,700,699,3,image/jpeg,66884,23,23,Yes,No
42,100043,"Intoarcerea la serviciu dupa un weekend prelungit 
Angajatii fara copii 
Oof, iar locul ăsta! 
Angajatii cu copii mici 
Bună ziua, muncăăăă! Uhuu!!!!",jpg,Combination,Fake,Neutral,Joy,No,581,686,3,image/jpeg,70841,149,155,No,No
43,100044,Prima mea intalnre cu Irina eram la ea la poartă si ieșise măsa-mare  s-o strige că i a făcut urzici cu niște ouă ochi,jpg,Simple,Real,Neutral,Surprise,No,683,706,3,image/jpeg,75485,118,125,No,No
44,100045,"Buzunarul stang 
Buzunarul drept",jpg,Combination,Real,Neutral,Surprise,No,744,610,3,image/jpeg,42278,32,32,No,No
45,100046,Eu cu salariul in mana incercand sa imi aduc aminte cand a lucrat guvernul jumatate din turele mele,jpg,Simple,Real,Negative,Anger,Yes,589,582,3,image/jpeg,41408,99,99,No,No
46,100047,"Clotilde e o Șoșoacă pentru bula educată 
CHANGE MY MIND",jpg,Simple,DeepFake,Negative,Anger,Yes,482,360,3,image/webp,39590,56,60,No,No
47,100048,"""Securist încercând să-nțeleagă nota informativă a lui Nicușor Dan""",jpg,Simple,Real,Neutral,Surprise,Yes,851,697,3,image/jpeg,73625,67,74,No,No
48,100049,INCA 4 ANI CU BORDURI SI PALMIERI IN S3,jpg,Simple,Real,Negative,Anger,Yes,612,408,3,image/jpeg,65216,39,39,Yes,No
49,100050,"BIBLIOTECA PENTRU TOȚI COPIII
AMINTIRI DIN COPILĂRIE 
Ion Creangă",jpg,Simple,DeepFake,Positive,Joy,No,536,703,3,image/jpeg,70031,65,68,No,No
50,100051,SIFOANE,jpg,Simple,DeepFake,Negative,Anger,Yes,623,708,3,image/jpeg,83810,7,7,Yes,No
51,100052,"Vanzatoarea : 
- Sunt 62 de lei. 
-Am 100. 
-Da-mi 12 sa-ti dau 50, sau 2 sa-ti dau 40. 
Eu :",jpg,Simple,Fake,Negative,Surprise,No,797,701,3,image/jpeg,44330,93,93,No,No
52,100053,Cand tai un copac in Sibiu,jpg,Simple,DeepFake,Positive,Surprise,No,775,698,3,image/jpeg,76645,26,26,No,No
53,100054,DUPĂ ALEGERI DEVIN VEGETARIAN,jpg,Simple,Real,Negative,Anger,Yes,701,698,3,image/jpeg,106382,29,30,Yes,No
54,100055,"firmele care fac bannere publicitare, în perioada alegerilor 
stonks",jpg,Simple,Fake,Neutral,Joy,No,730,756,3,image/jpeg,86914,68,69,No,Yes
55,100056,"Cea mai mare minciuna: 
https://forms.gle/wzqNoy3e9hpA9fdk8 
Lucrade de Licență 
Lucrade de Licență 
Dureaza 5 min",jpg,Simple,Real,Negative,Sadness,No,750,744,3,image/jpeg,68138,114,118,No,No
56,100057,MI-A ZIS UN COPIL ”SARU' MANA”,jpg,Simple,Real,Negative,Sadness,No,749,477,3,image/jpeg,94287,30,34,Yes,No
57,100058,"Mihai, tu mi-ai pus praf saharian pe Logan?!",jpg,Simple,Real,Negative,Surprise,No,750,503,3,image/jpeg,46225,44,44,No,No
58,100059,"Când ești cu naveta și aștepți să termine profesoara de vorbit la începutul ultimei ore, ca să ceri voie să pleci că îți pornește autobuzul imediat",jpg,Simple,Real,Neutral,Fear,No,599,759,3,image/jpeg,72024,147,160,No,No
59,100060,"INCALZIREA GLOBALA 
ASA A VRUT DUMNEZEU 
16 GRADE IARNA",jpg,Simple,Real,Negative,Sadness,No,750,746,3,image/jpeg,60976,55,55,Yes,No
60,100061,"Și, cum ai de gând să o impresionezi? 
El:",jpg,Simple,Real,Negative,Surprise,No,750,692,3,image/jpeg,103682,42,45,No,No
61,100062,"Bună ziua! Mă numesc Alex Nedea și sunt jurnalist la Recorder. 
Om de afaceri cu legături politice 
Aș vrea să vă pun câteva întrebări... 
...legate de contractele firmei dumneavoastră cu statul român.",jpg,Combination,Real,Negative,Anger,Yes,749,753,3,image/jpeg,95888,201,213,No,No
62,100063,"În drum spre parcarea laterală după ce ți-a murit motorul de 12 ori deja 
Examen",jpg,Simple,Fake,Negative,Sadness,No,603,752,3,image/jpeg,72604,80,84,No,No
63,100064,"Klaus Iohannis 
43m 
Asta cu 3 euro in plus la Netflix pentru fiecare locuință mi se pare o prostie, sincer! 
20,2K 
7,0K Comments 2,8K Shares 
Like Comment Share",jpg,Simple,DeepFake,Negative,Anger,Yes,749,558,3,image/jpeg,32932,162,164,No,No
64,100065,"Da bani la profesori or draw 25 
Guvern",jpg,Combination,Real,Negative,Anger,Yes,749,750,3,image/jpeg,54702,39,39,No,No
65,100066,"MASCA ESTE OBLIGATORIE! 
ROMÂNII:",jpg,Combination,Real,Negative,Sadness,No,932,617,3,image/jpeg,74335,33,34,Yes,No
66,100067,"PROFESOARA DE FRANCEZĂ: SCRIEȚI UN ESEU DE 3 PAGINI! 
EU: 
Google Translate 
Ctrl V",jpg,Combination,Real,Neutral,Joy,No,1340,775,3,image/jpeg,66912,83,86,No,No
67,100068,"TE-AI PREGĂTIT PENTRU PREZENTAREA DE ASTĂZI, AI ÎNVĂȚAT TOTUL ȘI EȘTI GATA PENTRU ABSOLUT ORICE. 
AUZI CĂ PROFESORUL TĂU A MURIT",jpg,Combination,Fake,Negative,Surprise,No,1920,1080,3,image/jpeg,251614,128,140,Yes,No
68,100069,"-Bă frate cum naiba ai primit un 10? Ești corigent mai mereu... 
Eu:",jpg,Simple,Real,Neutral,Surprise,No,1340,1078,3,image/jpeg,191783,68,72,No,No
69,100070,APĂ CHIOARĂ,jpg,Simple,Fake,Neutral,Surprise,No,854,641,3,image/jpeg,20716,11,13,Yes,No
70,100071,"0 - mesaje 0 - apeluri 
10 - mesaje 7 - apeluri",jpg,Combination,Real,Negative,Anger,No,766,616,3,image/jpeg,47994,47,48,No,Yes
71,100072,ȘTII CĂ BANANELE AU ACELE PETE NEGRE PENTRU CĂ ORGANIZEAZĂ LUPTE ILEGALE NOAPTEA?,jpg,Simple,Fake,Neutral,Surprise,No,1001,552,3,image/jpeg,68152,81,86,Yes,No
72,100073,"YOUTUBE ÎNCĂRCÂND UN VIDEO: 
YOUTUBE ÎNCĂRCÂND O RECLAMĂ:",jpg,Combination,Real,Negative,Anger,No,774,613,3,image/jpeg,60973,57,66,Yes,No
73,100074,cum arăt versus cum ma vede bunica,jpg,Combination,Real,Positive,Love,No,613,549,3,image/jpeg,37122,34,35,No,Yes
74,100075,"ÎNAINTE DE FILM: 
TOT ÎNAINTE DE FILM:",jpg,Combination,Real,Neutral,Surprise,No,964,561,3,image/jpeg,42633,38,41,Yes,No
75,100076,"DE AZI SUNT LA DIETĂ, ÎN LOC DE 6 FELII DE PIZZA MĂNÂNC DOAR 3",jpg,Combination,Real,Negative,Surprise,No,750,573,3,image/jpeg,58501,62,68,Yes,No
76,100077,GTA San Maramureș,jpg,Simple,Fake,Neutral,Surprise,No,616,508,3,image/jpeg,48605,17,18,No,No
77,100078,"Eu la 3 noaptea 
Frigiderul",jpg,Simple,Real,Neutral,Joy,No,621,624,3,image/jpeg,50677,27,27,No,No
78,100079,"ACEL MOMENT CÂND VEZI O GROAPĂ, DAR E PREA TÂRZIU SĂ O MAI EVIȚI:",jpg,Combination,Real,Negative,Surprise,No,931,610,3,image/jpeg,75459,65,73,Yes,No
79,100080,"când ai dormit 20 ore , dar mai tragi un pui de somn repede",jpg,Simple,Real,Negative,Joy,No,675,587,3,image/jpeg,57223,59,61,No,Yes
80,100081,"PROFESORUL: NU PUTEȚI SĂ FOLOSIȚI TELEFOANELE, CEASURILE INTELIGENTE SAU LAPTOPUI-LE LA TEST. 
EU:",jpg,Simple,Real,Neutral,Surprise,No,951,592,3,image/jpeg,48823,98,104,Yes,No
81,100082,"O SĂ MĂ APUC DE ÎNVĂȚAT LA 11. 
CEASUL MEU: 
10:65",jpg,Simple,Real,Negative,Surprise,No,1505,898,3,image/jpeg,111282,50,56,Yes,No
82,100083,"CUM VĂD PĂRINȚII ȘCOALA:
CUM VĂD COPII ȘCOALA:",jpg,Combination,Real,Negative,Fear,No,1071,585,3,image/jpeg,73007,46,53,Yes,No
83,100084,"Munikipiul București - PMkB 
10 septembrie la 18:08 
© Ionuț Oprea 
Urmeaza statia Drumul Taberei cu peronul pe partea stanga",jpg,Combination,Real,Positive,Joy,No,512,486,3,image/jpeg,48319,125,128,No,No
84,100085,"Când ajungi prima oară în Cluj 
recorder 
Mai este mult până la metrou?",jpg,Simple,Real,Negative,Anger,No,512,305,3,image/png,139314,71,76,No,No
85,100086,"VII ASTĂ-SEARĂ PE LA MINE? 
AM APĂ CALDĂ.",jpg,Simple,Real,Negative,Joy,Yes,469,512,3,image/jpeg,52542,41,45,Yes,No
86,100087,"Azi de dimineață într-un apartament din București 
Hooo, Nicușor!",jpg,Simple,DeepFake,Neutral,Surprise,Yes,319,512,3,image/jpeg,35120,65,70,No,No
87,100088,CINE A NINS SĂ STRÂNGĂ,jpg,Simple,Real,Negative,Surprise,Yes,512,340,3,image/jpeg,57615,22,25,Yes,No
88,100089,"Neamurile, de Sărbători: când te însori, când faci copii? 
Eu: 
Îmi produceți un stres teribil",jpg,Simple,Real,Negative,Anger,No,476,512,3,image/jpeg,46332,94,101,No,No
89,100090,"ASTA INSEAMNA 
SA FII MAFIOT",jpg,Simple,Real,Neutral,Joy,No,512,341,3,image/jpeg,40216,28,28,Yes,No
90,100091,"SĂ DAI TREI GOLURI ȘI SĂ IEI BĂTAIE CU 2-0 
ASTA ÎNSEAMNĂ SĂ FII MAFIOT",jpg,Simple,Real,Negative,Anger,No,460,304,3,image/png,206647,71,78,Yes,No
91,100092,"SPEIȘ 
THE FINAL FRONTIER",jpg,Simple,Fake,Neutral,Surprise,No,512,288,3,image/jpeg,48759,25,26,Yes,No
92,100093,"CÂND VEZI PRIMELE EXIT POLL-URI 
CE-I, FĂ, ASTA?",jpg,Simple,Real,Negative,Anger,Yes,512,366,3,image/jpeg,57990,48,50,Yes,No
93,100094,"CÂND VEZI CĂ S-A STRICAT GOOGLE 
DAR PE TINE NU POT DA VINA",jpg,Simple,Real,Negative,Anger,Yes,512,320,3,image/jpeg,46313,59,61,Yes,No
94,100095,"DAN BARNA, CITIND ZIARUL.",jpg,Simple,Real,Negative,Surprise,Yes,512,341,3,image/jpeg,38128,25,25,Yes,No
95,100096,"Eu și prietena mea în cămin la 12 noaptea, ne certăm cu paznicul @studentnews.info",jpg,Simple,Real,Negative,Anger,No,512,512,3,image/jpeg,41764,82,86,No,No
96,100097,"Buna ziua, aveti 2 secunde sa vorbim despre mantuitorul nostru Iisus Hristos?",jpg,Simple,Real,Neutral,Surprise,No,418,512,3,image/jpeg,24505,77,77,No,No
97,100098,"TU 
PISICA 
bagi bradul în casă
scoți globurile 
împodobști 
termini de împodobit",jpg,Combination,Real,Negative,Anger,No,370,512,3,image/jpeg,51188,81,87,No,No
98,100099,"CE DACĂ FATA PE CARE O PLACI ARE IUBIT? 
ȘI FOTBALUL ARE PORTAR ȘI TOT DAI GOL...",jpg,Simple,Real,Neutral,Surprise,No,512,286,3,image/jpeg,33198,81,84,Yes,No
99,100100,"""Marian, bine că mi-ai adus telefonul, imbecilul dracului""",jpg,Simple,Real,Negative,Surprise,Yes,512,397,3,image/jpeg,48004,58,59,No,No
100,200001,"SPUNE, UNDE ESTE PARTENERUL TĂU ?",jpg,Simple,Real,Neutral,Anger,No,640,399,3,image/jpeg,41508,33,34,Yes,No
101,200002,Cum se uită un șofer de BMW la linia de tramvai liberă,jpg,Simple,Fake,Negative,Love,No,518,487,3,image/jpeg,37296,54,57,No,No
102,200003,Mama uitandu-se la mine in timp ce pun o farfurie murdara in chiuveta proaspat golita,jpg,Simple,Fake,Negative,Anger,No,575,503,3,image/jpeg,48529,85,85,No,No
103,200004,Bucurestean in hainele de casa pe timpul iernii,jpg,Simple,Fake,Negative,Anger,Yes,551,484,3,image/jpeg,40359,47,47,No,No
104,200005,eu: putem sa ne oprim la McDrive? maica-mea: avem McDrive acasa  McDrive acasa:,jpg,Simple,Real,Negative,Surprise,No,540,449,3,image/jpeg,54055,79,79,No,No
105,200006,CÂINELE MEU CÂND MĂNÂNC CEVA:,jpg,Simple,Fake,Neutral,Love,No,598,360,3,image/jpeg,37021,29,33,Yes,No
106,200007,Așteptând să vină apa caldă,jpg,Combination,Fake,Negative,Sadness,Yes,573,480,3,image/jpeg,29421,27,32,No,No
107,200008,"dau chirie in Cluj: spatioasa, pat dublu, vedere la piscina, 439eur,fara cheltuieli",jpg,Simple,Real,Negative,Anger,Yes,551,456,3,image/jpeg,39366,83,83,No,No
108,200009,Când vrei să te răzbuni pe musca care nu te-a lăsat să dormi toată noaptea,jpg,Simple,Real,Negative,Anger,No,550,675,3,image/jpeg,52417,74,80,No,No
109,200010,Când încerc sa mănânc noaptea în liniște și scap lingura pe jos,jpg,Simple,Real,Negative,Sadness,No,736,736,3,image/jpeg,63040,63,70,No,No
110,200011,NU ARUNCĂ LUMEA CU OUĂ ÎN TINE DACĂ SUNT PREA SCUMPE,jpg,Combination,Fake,Negative,Anger,Yes,571,452,3,image/jpeg,28651,52,56,Yes,No
111,200012,Eu la munca incercand sa par ocupat,jpg,Simple,Fake,Neutral,Sadness,No,498,556,3,image/jpeg,41073,35,35,No,No
